,district,locality,latitude,longitude,id,zip_code,property_sub_type,property_type,price,nb_bedrooms,living_area,surface_of_the_plot,nb_facades,state_of_building,fireplace,equipped_kitchen,garden,garden_surface,terrace,terrace_surface,furnished,swimming_pool
3152,Namur,TAMINES,50.4335242,4.6083776,20340980,5060,Apartment,APARTMENT,150000,2,125,,,,0,0,0,,0,,0,0
3153,Anvers,BOOM,51.091959,4.373809,20294426,2850,Apartment,APARTMENT,190000,2,85,,,Good,0,1,0,,1,10,0,0
3154,Liège,Liège,50.6302263,5.5890014,20312812,4030,Apartment,APARTMENT,99000,1,73,,2,To be done up,0,0,0,,0,,0,0
3155,Neufchâteau,Neufchâteau,49.8428319,5.4357121,20360987,6840,Apartment,APARTMENT,199000,2,,,,Good,0,1,0,,1,4,0,0
3156,Liège,LIÈGE,50.6297577,5.586971699999999,20303325,4020,Apartment,APARTMENT,139500,2,88,,2,Good,0,0,0,,0,,0,0
3157,Ostende,OOSTENDE,51.2326558,2.9410006,20320753,8400,Apartment,APARTMENT,159000,2,80,,,Good,0,1,0,,0,,0,0
3158,Bruxelles,Laeken,50.87667339999999,4.3540995,20302426,1020,Apartment,APARTMENT,149000,2,90,,2,To renovate,0,0,0,,0,,0,0
3159,Louvain,Diest,50.982323,5.05039,20333670,3290,Apartment,APARTMENT,155000,2,103,,4,Good,0,1,0,,0,,0,0
3160,Bruxelles,Molenbeek-St-Jean,50.8504667,4.3049229,20350343,1080,Apartment,APARTMENT,189000,2,,,,To renovate,0,1,0,,0,,0,0
3161,Roulers,Roeselare,50.9410702,3.1240686,11329225,8800,Apartment,APARTMENT,98000,1,56,,,Good,0,1,0,,0,,0,0
3162,Charleroi,Charleroi,50.464476,4.4193723,20204758,6041,Ground_Floor,APARTMENT,99000,1,60,,2,As new,0,1,0,,0,,0,0
3163,Liège,Liège,50.63931729999999,5.5876636,20271301,4020,Apartment,APARTMENT,120000,2,80,,,To renovate,0,0,0,,0,,0,0
3164,Liège,Liège,50.6212746,5.5947112,20007135,4020,Apartment,APARTMENT,125000,2,77,,4,To be done up,0,1,0,,1,6,0,0
3165,Hasselt,Diepenbeek,50.9224726,5.4467817,20204155,3590,Apartment,APARTMENT,140000,1,44,,,To renovate,0,0,0,,0,,0,0
3166,Soignies,La Louvière,50.4788698,4.186434999999999,20050215,7100,Apartment,APARTMENT,140000,2,75,,2,Good,0,1,0,,0,,0,0
3167,Liège,HERSTAL,50.6567219,5.613969399999999,20001516,4040,Apartment,APARTMENT,159000,2,87,,3,Good,0,0,0,,0,,0,0
3168,Hasselt,SINT-TRUIDEN,50.8162838,5.1814127,20200684,3800,Apartment,APARTMENT,169000,2,74,,,Good,0,0,0,,0,,0,0
3169,Furnes,De Panne,51.094938,2.5664963,10893607,8660,Ground_Floor,APARTMENT,169000,1,98,,,To be done up,0,0,0,,0,,1,0
3170,Anvers,KONTICH,51.1292527,4.4541678,11117232,2550,Service_Flat,APARTMENT,170000,1,60,,,Good,0,1,0,,1,8,0,1
3171,Namur,GEMBLOUX,50.5668556,4.6807523,20078095,5030,Apartment,APARTMENT,175000,1,77,,2,,0,1,0,,0,,0,0
3172,Turnhout,GEEL,51.15969949999999,4.9965077,20289746,2440,Apartment,APARTMENT,179000,1,63,,3,As new,0,1,0,,0,,0,0
3173,Anvers,Merksem,51.2544511,4.4587051,20246919,2170,Apartment,APARTMENT,185000,2,100,,2,,0,0,0,,0,,0,0
3174,Bruxelles,Schaerbeek,50.8647301,4.361408000000001,11413178,1030,Apartment,APARTMENT,189000,2,74,,2,Good,0,0,0,,0,,0,0
3175,Bruxelles,Molenbeek-Saint-Jean,50.8590707,4.316459099999999,20022647,1080,Apartment,APARTMENT,190000,2,94,,2,Good,0,1,0,,1,2,0,0
3176,Hal-Vilvorde,Vilvoorde,50.9310684,4.4289361,20228623,1800,Apartment,APARTMENT,190000,1,60,,2,To be done up,0,1,0,,1,2,0,0
3177,Anvers,Merksem,51.2542623,4.4525709,20139002,2170,Apartment,APARTMENT,190000,2,91,,2,Good,0,1,0,,0,,0,0
3178,Charleroi,Charleroi,50.409354,4.4374039,20210320,6000,Apartment,APARTMENT,190000,2,106,,2,As new,0,1,0,,1,1,0,0
3179,Anvers,DEURNE,51.2231269,4.4795222,20027458,2100,Apartment,APARTMENT,192000,2,95,,2,To be done up,0,1,0,,1,4,0,0
3180,Anvers,Wommelgem,51.20440869999999,4.5179746,20255688,2160,Apartment,APARTMENT,195000,1,80,,4,Good,0,0,0,,0,,0,0
3181,Furnes,De Panne,51.0992185,2.591725,20170526,8660,Apartment,APARTMENT,195000,1,42,,,Just renovated,0,0,0,,0,,1,0
3182,Bruxelles,Ixelles,50.8227282,4.388057799999999,20067893,1050,Flat_Studio,APARTMENT,199000,,37,,,,0,0,0,,0,,0,0
3183,Bruxelles,IXELLES,50.804052,4.3939913,20260513,1050,Apartment,APARTMENT,200000,1,62,,,Just renovated,0,0,0,,1,10,0,0
3184,Bruxelles,Ganshoren,50.874208,4.3199416,20290896,1083,Apartment,APARTMENT,189000,1,73,,2,Just renovated,0,0,0,,0,,0,0
3185,Liège,Seraing,50.6002939,5.5225966,20304464,4100,Apartment,APARTMENT,159000,2,85,,2,As new,0,1,0,,0,,0,0
3186,Furnes,De Panne,51.1017788,2.5870025,10775189,8660,Apartment,APARTMENT,149000,1,44,,,,0,0,0,,0,,1,0
3187,Liège,Liège,50.627944,5.587698,20367184,4020,Apartment,APARTMENT,155000,2,93,,,,0,0,0,,0,,0,0
3188,Louvain,Leuven,50.8887319,4.7025716,20322705,3000,Flat_Studio,APARTMENT,176000,1,29,,,As new,0,0,0,,0,,1,0
3189,Thuin,Anderlues,50.4048791,4.275167199999999,20271167,6150,Duplex,APARTMENT,180000,2,130,,2,Good,0,1,0,,0,,0,0
3190,Bruxelles,Brussel,50.8499621,4.3676769,20292211,1000,Flat_Studio,APARTMENT,190000,,33,,,Good,0,1,0,,1,6,1,0
