Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province
415000,2000,HOUSE,HOUSE,TO_BE_DONE_UP,4,216.0,0,0.0,1.0,72.0,2.0,0.0,0.0,Antwerpen,Antwerp
393900,2800,APARTMENT,APARTMENT,AS_NEW,1,92.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Mechelen,Antwerp
575000,2340,APARTMENT,APARTMENT,GOOD,2,140.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Beerse,Antwerp
180000,1340,APARTMENT,APARTMENT,GOOD,1,55.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Ottignies-Louvain-la-Neuve,Walloon Brabant
329000,9800,HOUSE,HOUSE,TO_BE_DONE_UP,3,230.0,0,0.0,0.0,267.0,2.0,0.0,0.0,Deinze,East Flanders
299000,8480,HOUSE,HOUSE,GOOD,3,129.0,0,1.0,1.0,290.0,2.0,0.0,0.0,Ichtegem,Other
199000,4540,HOUSE,HOUSE,GOOD,3,143.0,0,1.0,1.0,692.0,3.0,0.0,0.0,Amay,Liège
295000,9230,HOUSE,HOUSE,GOOD,3,146.0,1,1.0,1.0,281.0,3.0,0.0,0.0,Wetteren,East Flanders
649000,1050,APARTMENT,DUPLEX,AS_NEW,4,161.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Ixelles,Brussels Capital
395000,8800,APARTMENT,APARTMENT,GOOD,3,124.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Roeselare,Other
529000,9000,HOUSE,HOUSE,TO_RENOVATE,4,200.0,0,0.0,1.0,110.0,3.0,0.0,0.0,Gent,East Flanders
249500,2840,APARTMENT,APARTMENT,GOOD,2,115.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Rumst,Antwerp
249000,1080,APARTMENT,APARTMENT,AS_NEW,2,101.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Molenbeek-Saint-Jean,Brussels Capital
870000,1200,HOUSE,HOUSE,AS_NEW,4,286.0,1,0.0,1.0,0.0,2.0,0.0,0.0,Woluwe-Saint-Lambert,Brussels Capital
479000,3150,HOUSE,HOUSE,GOOD,3,159.0,0,1.0,1.0,304.0,3.0,0.0,0.0,Haacht,Flemish Brabant
480000,9520,HOUSE,HOUSE,AS_NEW,3,171.0,1,1.0,0.0,426.0,4.0,0.0,0.0,Sint-Lievens-Houtem,East Flanders
425000,1030,APARTMENT,APARTMENT,AS_NEW,2,175.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Schaerbeek,Brussels Capital
110000,9472,HOUSE,HOUSE,TO_RENOVATE,1,133.0,0,1.0,0.0,216.0,3.0,0.0,0.0,Denderleeuw,East Flanders
140000,3971,HOUSE,HOUSE,TO_BE_DONE_UP,1,82.0,0,1.0,0.0,133.0,2.0,0.0,0.0,Leopoldsburg,Limburg
349000,8370,APARTMENT,APARTMENT,GOOD,2,103.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Blankenberge,Other
320000,1150,APARTMENT,SERVICE_FLAT,GOOD,1,65.0,0,1.0,1.0,0.0,2.0,0.0,1.0,Woluwe-Saint-Pierre,Brussels Capital
174900,9340,HOUSE,HOUSE,TO_RENOVATE,2,155.0,0,1.0,0.0,128.0,3.0,0.0,0.0,Lede,East Flanders
345000,1300,APARTMENT,APARTMENT,GOOD,2,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Wavre,Walloon Brabant
315000,1420,APARTMENT,APARTMENT,GOOD,2,107.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Braine-l'Alleud,Walloon Brabant
